Control-6M-Rep1	Control-6M-Rep2	Control-6M-Rep4	Control-6M-Rep6	Control-P21-Rep2	Control-P21-Rep3	Control-P21-Rep4	Control-P21-Rep5	DS-6M-Rep1	DS-6M-Rep2	DS-6M-Rep3	DS-6M-Rep4	DS-6M-Rep5	DS-P21-Rep1	DS-P21-Rep2	DS-P21-Rep3
0.2096275	0.078471581	0.191417813	0.15761175	0.1195855	0.097013888	0.225256813	0.165848063	0.103724619	0.16273075	0.117668813	0.073187394	0.1026484	0.09383905	0.083589406	0.190366813
1.203453125	1.557905	0.6817775	0.968617563	0.660713188	1.242695625	0.7605415	0.823496375	0.856064563	1.039766188	0.728271438	1.108865625	1.034460563	0.9152145	1.033652	0.825468188
24.06260625	25.2687625	24.26330625	22.6559	25.56854375	24.00823125	26.84041875	28.29284375	24.914	24.552575	25.38105	26.27209375	22.9411125	25.6650375	27.09195	27.18833125
16.44524375	15.9694	17.48665	14.80978438	13.39915	16.66904375	14.98779375	15.2812375	14.81128125	17.49035625	15.22665625	15.3069875	15.79171875	15.40141875	14.9157375	15.71036875
20.8206125	21.1090875	19.3154375	20.86869375	19.297675	19.8406625	19.669075	18.52471875	19.83203125	20.3867875	18.54368125	20.89855625	21.0008875	19.6595375	18.5393625	20.87513125
3.4930575	5.458925625	5.02858	2.730305625	6.28099625	4.130354375	5.765563125	5.915638125	3.862659375	4.39701	4.01852375	4.259050625	2.84698625	4.685011875	3.044763125	3.746235625
13.21605625	13.77060625	13.9541	14.30524375	13.58974375	15.0461875	12.77880625	13.259	13.85889375	12.93745625	12.38101875	12.34365	12.59239375	13.394525	11.5052875	14.051
4.60150875	4.1483125	4.454940625	4.0264725	3.989649375	4.357760625	4.41111	4.39588125	4.7731025	4.48042625	4.536429375	4.9809775	4.702045625	3.884150625	4.14323	4.073355
8.57287625	8.563405625	9.68816	9.13618375	9.975603125	10.99719375	10.27748125	10.3123375	9.78284125	9.309599375	10.36857188	10.05237563	8.83921125	9.57734625	10.209525	11.0748625
17.44321875	17.9459375	18.352275	18.1278875	22.6559	20.3581375	18.839825	17.5902	18.5836625	17.97828125	15.6266875	18.1455875	16.449625	20.08856875	18.73395625	20.3867875
20.7692875	18.94605	18.939175	18.8848125	15.81756875	15.5049375	17.9661875	14.001	19.560875	21.67249375	19.888275	21.793725	20.3914125	21.57495	21.49574375	19.581075
18.92729375	19.935725	18.6621125	16.57175	23.3398125	21.40638125	19.3275625	19.68664375	18.07185625	18.67045625	18.06494375	19.5076375	16.65601875	19.9758375	21.7175125	18.839825
3.85817125	4.94996625	4.62801625	4.45290375	4.611838125	4.536429375	4.170151875	3.955935625	4.16284875	4.136033125	3.80538125	4.54114	4.437811875	4.289060625	4.422385625	4.418918125
16.96024375	18.99405625	20.409725	20.90373125	21.54791875	17.93668125	18.8324875	18.37294375	19.89580625	19.99518125	19.19224688	20.015575	19.62636875	19.00010625	20.53208125	19.25198125
13.7739625	14.89571875	13.80939375	12.62045625	13.4284125	12.550225	13.2296	12.4547125	12.242975	10.75980625	12.50344375	14.14101875	11.9534125	12.95944375	10.79146875	11.7228875
0.283844188	0.245946688	0.316222969	0.422868438	0.68047675	0.250888875	0.317881938	0.056181906	0.531939	0.443934938	0.224804938	0.190258125	0.2599575	0.190540938	0.553839438	0.213839313
0.087738209	0.300642063	0.005640572	0.077156775	0.07955015	0.263450594	0.277311313	0.084795688	0.129665219	0.050780397	0.349792188	0.240787406	0.250654563	0.203282813	0.337363	0.283425813
0.729087688	1.8176025	1.332295	1.919263125	2.6535875	2.37369125	2.23713375	1.948614375	2.093975625	2.05668	2.842141875	3.902135	2.498123125	3.792011875	3.1774325	3.3145575
