Control-P21	Control-6M	DS-P21	DS-6M
0.595353	5.02324	1.52916	0.923975
3.50369	1.5529	11.397	0.511852
2.84445	0.717424	0.952228	2.13489
0.748055	2.45874	2.17284	1.05222
9.23088	17.9645	22.0041	7.91508
0.866023	0.478056	0.222076	0.652993
1.53686	0.621241	2.48479	0.189145
34.2041	19.1381	9.63183	28.3071
61.674	8.60278	19.5795	14.31
1.10947	2.17374	3.30762	1.30568
19.3682	10.0401	7.35314	18.6302
4.14065	0.717885	1.1947	1.00992
66.3293	27.232	95.8751	8.29252
0.245727	0.743715	0.541052	0.373195
1.80913	0.668521	0.404796	0.608395
1.28252	0.702811	0.546823	1.11058
3.22878	4.26132	1.28862	6.2322
2.86127	0.542876	0.938746	0.64373
1.30419	0.420185	0.844317	0.953948
0.777192	1.73504	1.46316	0.93813
0.335228	0.910873	0.607534	0.481518
1.25858	0.335549	0.690197	0.614332
0.493409	2.41163	1.19638	1.77228
0.495139	0.717903	1.18061	0.529064
1.06575	1.52327	2.31726	1.02989
101.419	39.4153	45.7903	55.6417
1.82705	3.80607	4.6908	3.13609
8.03316	12.436	9.77865	5.22678
0.826857	2.27921	1.2428	1.18399
89.9117	36.6913	46.3388	54.4064
14.3805	24.2753	96.4403	57.8942
9.76263	14.2538	5.12792	20.9979
0.528813	1.42764	2.90156	2.83593
8.06966	2.36287	2.85778	2.29023
0.899314	0.718774	0.334388	0.729141
0.464928	1.17076	0.908896	0.8399
0.836366	0.412193	1.6658	0.302244
0.797397	1.85174	1.33655	1.14907
10.5981	7.53982	4.19507	7.91422
0.657614	0.798271	0.406736	1.28167
10.7816	3.58446	4.43561	3.79846
0.361248	0.750643	0.676958	0.548924
0.901366	0.425546	0.553634	0.664861
1.1672	2.22675	1.7494	1.32815
4.06913	2.56841	2.78937	4.42344
1.05258	0.97135	0.315941	0.731902
1.02712	0.788278	0.561437	1.07905
2.69469	1.87344	1.32517	2.28062
1.00307	1.90747	1.84791	1.42436
0.57797	0.771985	0.217023	0.707101
1.29382	0.789756	2.4657	0.626797
0.894654	0.568419	1.74979	0.463177
3.00512	1.71181	2.61623	3.53913
1.64501	0.389239	0.704755	0.39239
2.63211	5.47907	4.11199	3.74714
4.07565	5.54688	6.11745	3.64583
3.67821	1.24917	2.78542	2.15236
0.967689	0.692591	0.499652	0.801367
0.921897	2.28466	0.644828	0.725847
1.52175	1.95033	1.89282	1.10534
2.18983	2.49651	1.32812	3.30563
0.580373	0.779353	0.867038	0.534079
1.17522	1.32203	1.30885	0.677406
3.49792	5.26137	6.51074	4.53476
1.3054	1.01015	1.85898	0.666528
1.33289	0.460094	0.835158	0.621535
0.854515	0.74685	0.96635	0.392808
1.59734	1.20436	1.10234	1.7814
0.704791	0.86202	0.9087	0.519009
34.8598	27.8205	21.0693	35.6408
1.29669	0.591036	0.985164	0.951595
0.546723	1.07112	1.19131	1.10151
17.7621	13.0047	11.4016	17.6732
1.60819	1.89202	0.990666	2.45341
27.7563	16.2089	13.4602	16.4595
0.339757	0.898781	0.625181	0.789806
3.0605	4.10064	4.79993	3.11305
0.795647	0.946672	1.31317	0.757939
0.825728	0.493308	0.503434	0.614322
1.63043	3.39235	1.08693	4.618
6.98054	5.12026	4.08329	6.08236
1.01822	4.85369	1.37975	3.23958
0.252088	0.83104	0.35324	0.574492
3.20455	1.73763	1.81207	1.9805
3.09187	1.60404	1.63432	1.70058
0.542182	0.706922	1.0882	0.707848
58.5214	42.9991	28.4981	41.732
72.5158	25.8325	48.4402	34.3619
0.611344	1.19382	0.776749	0.766502
0.464482	0.850401	0.561036	0.519872
6.27713	5.96528	5.89539	2.83658
0.413445	0.978294	0.522506	0.62693
1.27135	1.19541	1.71743	0.820296
1.67091	0.498502	0.891891	0.522368
0.319772	1.18247	0.832536	1.57828
2.33911	1.70268	0.838383	1.18931
1.64992	2.96847	2.32195	2.14393
0.749907	0.605105	0.932097	0.387521
1.02543	0.956583	0.529811	0.958974
